iter	Passed	Remaining
1213	2124	1375
1214	2126	1373
1215	2128	1372
1216	2130	1370
1217	2131	1368
1218	2133	1366
1219	2134	1364
1220	2136	1363
1221	2138	1361
1222	2140	1359
1223	2141	1357
1224	2143	1356
1225	2144	1354
1226	2146	1352
1227	2148	1350
1228	2150	1348
1229	2151	1347
1230	2153	1345
1231	2155	1343
1232	2156	1341
1233	2158	1339
1234	2160	1337
1235	2161	1336
1236	2163	1334
1237	2165	1332
1238	2166	1330
1239	2168	1329
1240	2170	1327
1241	2172	1325
1242	2174	1324
1243	2176	1322
1244	2177	1320
1245	2179	1318
1246	2180	1316
1247	2182	1315
1248	2184	1313
1249	2185	1311
1250	2187	1309
1251	2189	1308
1252	2191	1306
1253	2192	1304
1254	2194	1302
1255	2196	1301
1256	2198	1299
1257	2200	1297
1258	2202	1296
1259	2203	1294
1260	2205	1292
1261	2207	1290
1262	2208	1288
1263	2210	1287
1264	2212	1285
1265	2214	1283
1266	2216	1282
1267	2217	1280
1268	2219	1278
1269	2222	1277
1270	2223	1275
1271	2225	1273
1272	2227	1271
1273	2228	1270
1274	2230	1268
1275	2232	1266
1276	2234	1265
1277	2236	1263
1278	2238	1261
1279	2241	1260
1280	2243	1259
1281	2245	1257
1282	2246	1255
1283	2247	1253
1284	2249	1251
1285	2250	1249
1286	2252	1247
1287	2253	1245
1288	2255	1243
1289	2256	1241
1290	2257	1240
1291	2259	1238
1292	2260	1236
1293	2262	1234
1294	2263	1232
1295	2264	1230
1296	2266	1228
1297	2267	1226
1298	2269	1224
1299	2270	1222
1300	2272	1220
1301	2273	1218
1302	2275	1216
1303	2276	1215
1304	2277	1213
1305	2279	1211
1306	2280	1209
1307	2282	1207
1308	2283	1205
1309	2285	1203
1310	2287	1202
1311	2288	1200
1312	2290	1198
1313	2291	1196
1314	2293	1194
1315	2294	1192
1316	2296	1190
1317	2297	1189
1318	2299	1187
1319	2302	1185
1320	2303	1184
1321	2305	1182
1322	2307	1180
1323	2308	1178
1324	2310	1176
1325	2311	1175
1326	2313	1173
1327	2314	1171
1328	2315	1169
1329	2317	1167
1330	2319	1165
1331	2320	1163
1332	2322	1162
1333	2324	1160
1334	2325	1158
1335	2326	1156
1336	2328	1154
1337	2329	1152
1338	2331	1150
1339	2333	1149
1340	2334	1147
1341	2335	1145
1342	2337	1143
1343	2339	1141
1344	2340	1139
1345	2342	1138
1346	2344	1136
1347	2345	1134
1348	2347	1132
1349	2349	1131
1350	2351	1129
1351	2353	1128
1352	2355	1126
1353	2357	1124
1354	2358	1122
1355	2360	1121
1356	2362	1119
1357	2363	1117
1358	2365	1115
1359	2367	1114
1360	2369	1112
1361	2371	1110
1362	2373	1109
1363	2374	1107
1364	2376	1105
1365	2377	1103
1366	2379	1101
1367	2381	1100
1368	2382	1098
1369	2384	1096
1370	2386	1094
1371	2388	1093
1372	2389	1091
1373	2391	1089
1374	2392	1087
1375	2394	1085
1376	2396	1084
1377	2398	1082
1378	2399	1080
1379	2401	1078
1380	2403	1077
1381	2404	1075
1382	2406	1073
1383	2408	1071
1384	2409	1070
1385	2411	1068
1386	2413	1066
1387	2415	1064
1388	2416	1063
1389	2418	1061
1390	2420	1059
1391	2421	1057
1392	2423	1056
1393	2425	1054
1394	2426	1052
1395	2428	1050
1396	2430	1049
1397	2432	1047
1398	2433	1045
1399	2435	1043
1400	2437	1042
1401	2438	1040
1402	2440	1038
1403	2442	1036
1404	2444	1035
1405	2446	1033
1406	2448	1031
1407	2450	1030
1408	2451	1028
1409	2453	1026
1410	2454	1024
1411	2456	1022
1412	2457	1021
1413	2459	1019
1414	2461	1017
1415	2462	1015
1416	2464	1014
1417	2466	1012
1418	2468	1010
1419	2470	1008
1420	2472	1007
1421	2474	1005
1422	2476	1003
1423	2477	1002
1424	2479	1000
1425	2481	998
1426	2483	997
1427	2485	995
1428	2487	993
1429	2489	992
1430	2491	990
1431	2493	988
1432	2495	987
1433	2497	985
1434	2499	984
1435	2501	982
1436	2503	980
1437	2505	979
1438	2507	977
1439	2509	975
1440	2511	974
1441	2513	972
1442	2515	971
1443	2518	969
1444	2520	967
1445	2522	966
1446	2524	964
1447	2526	963
1448	2528	961
1449	2530	959
1450	2532	958
1451	2534	956
1452	2536	954
1453	2538	953
1454	2540	951
1455	2542	949
1456	2544	948
1457	2546	946
1458	2557	948
1459	2562	947
1460	2566	946
1461	2571	946
1462	2576	945
1463	2581	945
1464	2584	943
1465	2588	942
1466	2593	942
1467	2597	941
1468	2602	940
1469	2605	939
1470	2608	937
1471	2610	936
1472	2612	934
1473	2614	933
1474	2616	931
1475	2620	930
1476	2623	928
1477	2627	927
1478	2629	926
1479	2631	924
1480	2633	922
1481	2634	920
1482	2636	919
1483	2637	917
1484	2639	915
1485	2641	913
1486	2642	911
1487	2644	909
1488	2645	907
1489	2647	906
1490	2648	904
1491	2650	902
1492	2651	900
1493	2652	898
1494	2654	896
1495	2656	894
1496	2657	893
1497	2659	891
1498	2660	889
1499	2662	887
1500	2663	885
1501	2665	883
1502	2666	881
1503	2667	879
1504	2669	877
1505	2670	876
1506	2672	874
1507	2673	872
1508	2675	870
1509	2676	868
1510	2678	866
1511	2679	864
1512	2680	862
1513	2682	860
1514	2683	859
1515	2684	857
1516	2686	855
1517	2688	853
1518	2689	851
1519	2691	849
1520	2692	847
1521	2693	846
1522	2695	844
1523	2696	842
1524	2697	840
1525	2699	838
1526	2700	836
1527	2701	834
1528	2703	832
1529	2705	831
1530	2706	829
1531	2707	827
1532	2709	825
1533	2710	823
1534	2711	821
1535	2713	819
1536	2714	817
1537	2715	815
1538	2717	813
1539	2718	812
1540	2720	810
1541	2721	808
1542	2723	806
1543	2724	804
1544	2726	802
1545	2727	800
1546	2728	799
1547	2730	797
1548	2731	795
1549	2732	793
1550	2734	791
1551	2735	789
1552	2737	787
1553	2738	785
1554	2739	784
1555	2741	782
1556	2742	780
1557	2743	778
1558	2745	776
1559	2746	774
1560	2748	772
1561	2749	771
1562	2751	769
1563	2752	767
1564	2754	765
1565	2755	763
1566	2757	761
1567	2758	759
1568	2760	758
1569	2761	756
1570	2762	754
1571	2764	752
1572	2765	750
1573	2766	748
1574	2768	746
1575	2769	745
1576	2771	743
1577	2772	741
1578	2773	739
1579	2775	737
1580	2776	735
1581	2777	733
1582	2779	732
1583	2780	730
1584	2781	728
1585	2783	726
1586	2784	724
1587	2786	722
1588	2787	720
1589	2788	719
1590	2790	717
1591	2791	715
1592	2792	713
1593	2794	711
1594	2795	709
1595	2796	707
1596	2797	706
1597	2799	704
1598	2800	702
1599	2802	700
1600	2803	698
1601	2804	696
1602	2806	694
1603	2807	693
1604	2808	691
1605	2810	689
1606	2811	687
1607	2812	685
1608	2814	683
1609	2815	682
1610	2816	680
1611	2818	678
1612	2819	676
1613	2821	674
1614	2822	672
1615	2824	671
1616	2825	669
1617	2826	667
1618	2828	665
1619	2829	663
1620	2830	661
1621	2832	660
1622	2833	658
1623	2835	656
1624	2836	654
1625	2838	652
1626	2839	651
1627	2840	649
1628	2842	647
1629	2843	645
1630	2844	643
1631	2846	641
1632	2847	640
1633	2849	638
1634	2851	636
1635	2852	634
1636	2854	632
1637	2855	631
1638	2857	629
1639	2858	627
1640	2860	625
1641	2861	623
1642	2862	622
1643	2864	620
1644	2865	618
1645	2868	616
1646	2869	615
1647	2870	613
1648	2872	611
1649	2873	609
1650	2875	607
1651	2876	605
1652	2877	604
1653	2879	602
1654	2880	600
1655	2882	598
1656	2883	596
1657	2884	595
1658	2886	593
